# List of regionally rare or endangered species
# this tsv file assembled from GBIF checklist dataset, see citation
# Marushchak O, Vasyliuk O, Prylutskyi O (2024). Red list of flora and fauna of Kyiv region of Ukraine. Version 1.1. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/k2vu38 accessed via GBIF.org on 2024-03-27. 
# ----------------------------------------------------------------------------------
id	taxonID	vernacularName	scientificName	kingdom	phylum	class	order	family	taxonRank	source	language	countryCode
Kyiv-RedList-UA-FAUNA:001	Kyiv-RedList-UA-FAUNA:001	Черепаха болотяна	Emys orbicularis (Linnaeus, 1758)	Animalia	Chordata	Testudines	NA	Emydidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:002	Kyiv-RedList-UA-FAUNA:002	Гадюка звичайна	Vipera berus (Linnaeus, 1758)	Animalia	Chordata	Squamata	NA	Viperidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:003	Kyiv-RedList-UA-FAUNA:003	Ящірка зелена	Lacerta viridis (Laurenti, 1768)	Animalia	Chordata	Squamata	NA	Lacertidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:004	Kyiv-RedList-UA-FAUNA:004	Жаба гостроморда	Rana arvalis Nilsson, 1842	Animalia	Chordata	Amphibia	Anura	Ranidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:005	Kyiv-RedList-UA-FAUNA:005	Ропуха сіра	Bufo bufo (Linnaeus, 1758)	Animalia	Chordata	Amphibia	Anura	Bufonidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:006	Kyiv-RedList-UA-FAUNA:006	Кумка червоночерева	Bombina bombina (Linnaeus, 1761)	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:007	Kyiv-RedList-UA-FAUNA:007	Райка східна	Hyla orientalis Bedriaga, 1890	Animalia	Chordata	Amphibia	Anura	Hylidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:008	Kyiv-RedList-UA-FAUNA:008	Тритон гребінчастий	Triturus cristatus (Laurenti, 1768)	Animalia	Chordata	Amphibia	Caudata	Salamandridae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:009	Kyiv-RedList-UA-FAUNA:009	Тритон звичайний	Lissotriton vulgaris (Linnaeus, 1758)	Animalia	Chordata	Amphibia	Caudata	Salamandridae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:010	Kyiv-RedList-UA-FAUNA:010	Бабка бронзово-зелена	Cordulia aenea Linnaeus, 1758	Animalia	Arthropoda	Insecta	Odonata	Corduliidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:011	Kyiv-RedList-UA-FAUNA:011	Левкоринія білолоба	Leucorrhinia albifrons (Burmeister, 1832)	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:012	Kyiv-RedList-UA-FAUNA:012	Білоноска болотна	Leucorrhinia pectoralis Charpentier, 1825	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:013	Kyiv-RedList-UA-FAUNA:013	Білоноска товтстохвоста	Leucorrhinia caudalis Charpentier, 1840	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:014	Kyiv-RedList-UA-FAUNA:014	Білоноска малесенька	Leucorrhinia dubia Vander Linden, 1825	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:015	Kyiv-RedList-UA-FAUNA:015	Білоноска червонувата	Leucorrhinia rubicunda Linnaeus, 1758	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:016	Kyiv-RedList-UA-FAUNA:016	Коромисло синє	Aeshna cyanea Muller, 1764	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:017	Kyiv-RedList-UA-FAUNA:017	Коромисло велике	Aeshna grandis (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:018	Kyiv-RedList-UA-FAUNA:018	Короткочеревець лучний	Brachytron pratense (Muller, 1764)	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:019	Kyiv-RedList-UA-FAUNA:019	Бабка перев’язана	Sympetrum pedemontanum O.F.Muller, 1766	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:020	Kyiv-RedList-UA-FAUNA:020	Тонкочеревець чорний	Sympetrum danae (Sulzer, 1776)	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:021	Kyiv-RedList-UA-FAUNA:021	Тонкочеревець Фонсколомба	Sympetrum fonscolombii (Selys, 1840)	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:022	Kyiv-RedList-UA-FAUNA:022	Тонкочеревець південний	Sympetrum meridionale (Selys, 1841)	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:023	Kyiv-RedList-UA-FAUNA:023	Зеленотілка жовтоплямиста	Somatochlora flavomaculata Vander Linden, 1825	Animalia	Arthropoda	Insecta	Odonata	Corduliidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:024	Kyiv-RedList-UA-FAUNA:024	Зеленотілка металічна	Somatochlora metallica Vander Linden, 1825	Animalia	Arthropoda	Insecta	Odonata	Corduliidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:025	Kyiv-RedList-UA-FAUNA:025	Дідок звичайний	Gomphus vulgatissimus Linnaeus, 1758	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:026	Kyiv-RedList-UA-FAUNA:026	Лібелюля руда	Libellula fulva Muller, 1764	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:027	Kyiv-RedList-UA-FAUNA:027	Сонечко шістнадцятицяткове	Halyzia sedecimguttata (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:028	Kyiv-RedList-UA-FAUNA:028	Гоморосома міцноноса	Homorosoma validirostre (Gyllenhal, 1837)	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:029	Kyiv-RedList-UA-FAUNA:029	Довгоносик різноцятковий	Hypera diversipunctata (Schrank, 1798)	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:030	Kyiv-RedList-UA-FAUNA:030	Жиряк гладеньконосий	Liparus glabrirostris Kuster, 1849	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:031	Kyiv-RedList-UA-FAUNA:031	Дрібноочок гребінчастий	Minyops carinatus (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:032	Kyiv-RedList-UA-FAUNA:032	Вусач-молорх маленький	Molorchus minor (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:033	Kyiv-RedList-UA-FAUNA:033	Онтолестес мозаїчний	Ontholestes tessellatus (Geoffroy, 1785)	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
Kyiv-RedList-UA-FAUNA:034	Kyiv-RedList-UA-FAUNA:034	Жук-носоріг	Oryctes nasicornis (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	species	Рiшення Київської міської ради вiд 23 грудня 2004 року №879/2289	uk	UA
